from,to
CM-5,AU-6
CM-5,AU-7
CM-5,CM-3
CM-5,CM-5
CM-5,PE-6
CM-5,PE-8
CM-5,CM-7
CM-5,SC-13
CM-5,SI-7
CM-5,AC-2
CM-6,AC-19
CM-6,CM-2
CM-6,CM-3
CM-6,CM-7
CM-6,SI-4
CM-6,CA-7
CM-6,CM-4
CM-6,IR-4
CM-6,SI-7
CM-7,AC-6
CM-7,CM-2
CM-7,RA-5
CM-7,SA-5
CM-7,SC-7
CM-7,AC-18
CM-7,CM-7
CM-7,IA-2
CM-7,CM-8
CM-7,PM-5
CM-7,CM-2
CM-7,CM-6
CM-7,CM-8
CM-7,PM-5
CM-7,SA-10
CM-7,SC-34
CM-7,SI-7
CM-8,CM-2
CM-8,CM-6
CM-8,PM-5
CM-8,SI-7
CM-8,AC-17
CM-8,AC-18
CM-8,AC-19
CM-8,CA-7
CM-8,SI-3
CM-8,SI-4
CM-8,SI-7
CM-8,RA-5
CM-9,CM-2
CM-9,CM-3
CM-9,CM-4
CM-9,CM-5
CM-9,CM-8
CM-9,SA-10
CP-1,PM-9
CP-10,CA-2
CP-10,CA-6
CP-10,CA-7
CP-10,CP-2
CP-10,CP-6
CP-10,CP-7
CP-10,CP-9
CP-10,SC-24
CP-10,CM-2
CP-2,AC-14
CP-2,CP-6
CP-2,CP-7
CP-2,CP-8
CP-2,CP-9
CP-2,CP-10
CP-2,IR-4
CP-2,IR-8
CP-2,MP-2
CP-2,MP-4
CP-2,MP-5
CP-2,PM-8
CP-2,PM-11
CP-2,PE-12
CP-2,PE-12
CP-2,PE-12
CP-2,SA-14
CP-2,SA-15
CP-3,AT-2
CP-3,AT-3
CP-3,CP-2
CP-3,IR-2
CP-4,CP-2
CP-4,CP-3
CP-4,IR-3
CP-4,IR-8
CP-4,PM-8
CP-4,CP-7
CP-6,CP-2
CP-6,CP-7
CP-6,CP-9
CP-6,CP-10
CP-6,MP-4
CP-6,RA-3
CP-6,RA-3
CP-7,CP-2
CP-7,CP-6
CP-7,CP-8
CP-7,CP-9
CP-7,CP-10
CP-7,MA-6
CP-7,RA-3
CP-7,RA-3
CP-7,CM-2
CP-7,CM-6
CP-8,CP-2
CP-8,CP-6
CP-8,CP-7
CP-9,CP-2
CP-9,CP-6
CP-9,MP-4
CP-9,MP-5
CP-9,SC-13
CP-9,CP-4
CP-9,CP-4
CP-9,CM-2
CP-9,CM-8
IA-1,PM-9
IA-2,AC-2
IA-2,AC-3
IA-2,AC-14
IA-2,AC-17
IA-2,AC-18
IA-2,IA-4
IA-2,IA-5
IA-2,IA-8
IA-2,AC-6
IA-2,AC-6
IA-2,AU-2
IA-2,PE-3
IA-2,SA-4
IA-2,AC-6
IA-3,AC-17
IA-3,AC-18
IA-3,AC-19
IA-3,CA-3
IA-3,IA-4
IA-3,IA-5
IA-4,AC-2
IA-4,IA-2
IA-4,IA-3
IA-4,IA-5
IA-4,IA-8
IA-4,SC-37
IA-4,AT-2
IA-5,AC-2
IA-5,AC-3
IA-5,AC-6
IA-5,CM-6
IA-5,IA-2
IA-5,IA-4
IA-5,IA-8
IA-5,PL-4
IA-5,PS-5
IA-5,PS-6
IA-5,SC-12
IA-5,SC-13
IA-5,SC-17
IA-5,SC-28
IA-5,IA-6
IA-5,IA-6
IA-5,CA-2
IA-5,CA-7
IA-5,RA-5
IA-6,PE-18
IA-7,SC-12
IA-7,SC-13
IA-8,AC-2
IA-8,AC-14
IA-8,AC-17
IA-8,AC-18
IA-8,IA-2
IA-8,IA-4
IA-8,IA-5
IA-8,MA-4
IA-8,RA-3
IA-8,SA-12
IA-8,SC-8
IA-8,AU-2
IA-8,PE-3
IA-8,SA-4
IA-8,AU-2
IA-8,SA-4
IA-8,SA-4
IR-1,PM-9
IR-2,AT-3
IR-2,CP-3
IR-2,IR-8
IR-3,CP-4
IR-3,IR-8
IR-4,AU-6
IR-4,CM-6
IR-4,CP-2
IR-4,CP-4
IR-4,IR-2
IR-4,IR-3
IR-4,IR-8
IR-4,PE-6
IR-4,SC-5
IR-4,SC-7
IR-4,SI-3
IR-4,SI-4
IR-4,SI-7
IR-4,AC-2
IR-4,AC-4
IR-4,AC-16
IR-4,CM-2
IR-4,CM-3
IR-4,CM-4
IR-5,AU-6
IR-5,IR-8
IR-5,PE-6
IR-5,SC-5
IR-5,SC-7
IR-5,SI-3
IR-5,SI-4
IR-5,SI-7
IR-5,AU-7
IR-5,IR-4
IR-6,IR-4
IR-6,IR-5
IR-6,IR-8
IR-6,IR-7
IR-7,AT-2
IR-7,IR-4
IR-7,IR-6
IR-7,IR-8
IR-7,SA-9
IR-8,MP-2
IR-8,MP-4
IR-8,MP-5
MA-1,PM-9
MA-2,CM-3
MA-2,CM-4
MA-2,MA-4
MA-2,MP-6
MA-2,PE-16
MA-2,SA-12
MA-2,SI-2
MA-2,CA-7
MA-2,MA-3
MA-3,MA-2
MA-3,MA-5
MA-3,MP-6
MA-3,SI-7
MA-3,SI-3
MA-4,AC-2
MA-4,AC-3
MA-4,AC-6
MA-4,AC-17
MA-4,AU-2
MA-4,AU-3
MA-4,IA-2
MA-4,IA-4
MA-4,IA-5
MA-4,IA-8
MA-4,MA-2
MA-4,MA-5
MA-4,MP-6
MA-4,PL-2
MA-4,SC-7
MA-4,SC-10
MA-4,SC-17
MA-4,MA-3
MA-4,SA-12
MA-4,SI-3
MA-4,SI-7
MA-4,SC-8
MA-4,SC-13
MA-5,AC-2
MA-5,IA-8
MA-5,MP-2
MA-5,PE-2
MA-5,PE-3
MA-5,PE-4
MA-5,RA-3
MA-5,MP-6
MA-5,PL-2
MA-6,CM-8
MA-6,CP-2
MA-6,CP-7
MA-6,SA-14
MA-6,SA-15
MP-1,PM-9
MP-2,AC-3
MP-2,IA-2
MP-2,MP-4
MP-2,PE-2
MP-2,PE-3
MP-2,PL-2
MP-3,AC-16
MP-3,PL-2
MP-3,RA-3
MP-4,CP-6
MP-4,CP-9
MP-4,MP-2
MP-4,MP-7
MP-4,PE-3
MP-5,AC-19
MP-5,CP-9
MP-5,MP-3
MP-5,MP-4
MP-5,RA-3
MP-5,SC-8
MP-5,SC-13
MP-5,SC-28
MP-5,MP-2
MP-6,MA-2
MP-6,MA-4
MP-6,RA-3
MP-6,SC-4
MP-6,SI-12
MP-6,SI-3
MP-7,AC-19
MP-7,PL-4
MP-7,PL-4
PE-1,PM-9
PE-10,PE-15
PE-11,AT-3
PE-11,CP-2
PE-11,CP-7
PE-12,CP-2
PE-12,CP-7
PE-14,AT-3
PE-15,AT-3
PE-16,CM-3
PE-16,MA-2
PE-16,MA-3
PE-16,MP-5
PE-16,SA-12
PE-17,AC-17
PE-17,CP-7
PE-18,CP-2
PE-18,PE-19
PE-18,RA-3
PE-2,PE-3
PE-2,PE-4
PE-2,PS-3
PE-3,AU-2
PE-3,AU-6
PE-3,MP-2
PE-3,MP-4
PE-3,PE-2
PE-3,PE-4
PE-3,PE-5
PE-3,PS-3
PE-3,RA-3
PE-3,PS-2
PE-4,MP-2
PE-4,MP-4
PE-4,PE-2
PE-4,PE-3
PE-4,PE-5
PE-4,SC-7
PE-4,SC-8
PE-5,PE-2
PE-5,PE-3
PE-5,PE-4
PE-5,PE-18
PE-6,CA-7
PE-6,IR-4
PE-6,IR-8
PE-6,PS-2
PE-6,PS-3
PE-9,PE-4
PL-1,PM-9
PL-2,AC-2
PL-2,AC-6
PL-2,AC-14
PL-2,AC-17
PL-2,AC-20
PL-2,CA-2
PL-2,CA-3
PL-2,CA-7
PL-2,CM-9
PL-2,CP-2
PL-2,IR-8
PL-2,MA-4
PL-2,MA-5
PL-2,MP-2
PL-2,MP-4
PL-2,MP-5
PL-2,PL-7
PL-2,PM-1
PL-2,PM-7
PL-2,PM-8
PL-2,PM-9
PL-2,PM-11
PL-2,SA-5
PL-2,SA-17
PL-2,CP-4
PL-2,IR-4
PL-4,AC-2
PL-4,AC-6
PL-4,AC-8
PL-4,AC-9
PL-4,AC-17
PL-4,AC-18
PL-4,AC-19
PL-4,AC-20
PL-4,AT-2
PL-4,AT-3
PL-4,CM-11
PL-4,IA-2
PL-4,IA-4
PL-4,IA-5
PL-4,MP-7
PL-4,PS-6
PL-4,PS-8
PL-4,SA-5
PL-8,CM-2
PL-8,CM-6
PL-8,PL-2
PL-8,PM-7
PL-8,SA-5
PL-8,SA-17
PS-1,PM-9
PS-2,AT-3
PS-2,PL-2
PS-2,PS-3
PS-3,AC-2
PS-3,IA-4
PS-3,PE-2
PS-3,PS-2
PS-4,AC-2
PS-4,IA-4
PS-4,PE-2
PS-4,PS-5
PS-4,PS-6
PS-5,AC-2
PS-5,IA-4
PS-5,PE-2
PS-5,PS-4
PS-6,PL-4
PS-6,PS-2
PS-6,PS-3
PS-6,PS-4
PS-6,PS-8
PS-7,PS-2
PS-7,PS-3
PS-7,PS-4
PS-7,PS-5
PS-7,PS-6
PS-7,SA-9
PS-7,SA-21
PS-8,PL-4
PS-8,PS-6
RA-1,PM-9
RA-2,CM-8
RA-2,MP-4
RA-2,RA-3
RA-2,SC-7
RA-3,RA-2
RA-3,PM-9
RA-5,CA-2
RA-5,CA-7
RA-5,CM-4
RA-5,CM-6
RA-5,RA-2
RA-5,RA-3
RA-5,SA-11
RA-5,SI-2
RA-5,SI-3
RA-5,SI-7
RA-5,SI-3
RA-5,SI-5
RA-5,AU-13
RA-5,IR-4
RA-5,IR-5
RA-5,SI-4
RA-5,AU-6
SA-1,PM-9
SA-10,CM-3
SA-10,CM-4
SA-10,CM-9
SA-10,SA-12
SA-10,SI-2
SA-10,SI-7
SA-11,CA-2
SA-11,CM-4
SA-11,SA-3
SA-11,SA-4
SA-11,SA-5
SA-11,SI-2
SA-11,PM-15
SA-11,RA-5
SA-12,AT-3
SA-12,CM-8
SA-12,IR-4
SA-12,PE-16
SA-12,PL-8
SA-12,SA-3
SA-12,SA-4
SA-12,SA-8
SA-12,SA-10
SA-12,SA-14
SA-12,SA-15
SA-12,SA-18
SA-12,SA-19
SA-12,SC-29
SA-12,SC-30
SA-12,SC-38
SA-12,SI-7
SA-15,SA-3
SA-15,SA-8
SA-16,AT-2
SA-16,AT-3
SA-16,SA-5
SA-17,PL-8
SA-17,PM-7
SA-17,SA-3
SA-17,SA-8
SA-2,PM-3
SA-2,PM-11
SA-3,AT-3
SA-3,PM-7
SA-3,SA-8
SA-4,CM-6
SA-4,PL-2
SA-4,PS-7
SA-4,SA-3
SA-4,SA-5
SA-4,SA-8
SA-4,SA-11
SA-4,SA-12
SA-4,SA-5
SA-4,IA-2
SA-4,IA-8
SA-4,SA-5
SA-4,CA-7
SA-4,CM-7
SA-4,SA-9
SA-5,CM-6
SA-5,CM-8
SA-5,PL-2
SA-5,PL-4
SA-5,PS-2
SA-5,SA-3
SA-5,SA-4
SA-8,PM-7
SA-8,SA-3
SA-8,SA-4
SA-8,SA-17
SA-8,SC-2
SA-8,SC-3
SA-9,CA-3
SA-9,IR-7
SA-9,PS-7
SA-9,CA-6
SA-9,RA-3
SA-9,CM-7
SC-1,PM-9
SC-12,SC-13
SC-12,SC-17
SC-13,AC-2
SC-13,AC-3
SC-13,AC-7
SC-13,AC-17
SC-13,AC-18
SC-13,AU-9
SC-13,AU-10
SC-13,CM-11
SC-13,CP-9
SC-13,IA-3
SC-13,IA-7
SC-13,MA-4
SC-13,MP-2
SC-13,MP-4
SC-13,MP-5
SC-13,SA-4
SC-13,SC-8
SC-13,SC-12
SC-13,SC-28
SC-13,SI-7
SC-15,AC-21
SC-17,SC-12
SC-18,AU-2
SC-18,AU-12
SC-18,CM-2
SC-18,CM-6
SC-18,SI-3
SC-19,CM-6
SC-19,SC-7
SC-19,SC-15
SC-2,SA-4
SC-2,SA-8
SC-2,SC-3
SC-20,AU-10
SC-20,SC-8
SC-20,SC-12
SC-20,SC-13
SC-20,SC-21
SC-20,SC-22
SC-21,SC-20
SC-21,SC-22
SC-22,SC-2
SC-22,SC-20
SC-22,SC-21
SC-22,SC-24
SC-23,SC-8
SC-23,SC-10
SC-23,SC-11
SC-24,CP-2
SC-24,CP-10
SC-24,CP-12
SC-24,SC-7
SC-24,SC-22
SC-28,AC-3
SC-28,AC-6
SC-28,CA-7
SC-28,CM-3
SC-28,CM-5
SC-28,CM-6
SC-28,PE-3
SC-28,SC-8
SC-28,SC-13
SC-28,SI-3
SC-28,SI-7
SC-28,AC-19
SC-28,SC-12
SC-3,AC-3
SC-3,AC-6
SC-3,SA-4
SC-3,SA-5
SC-3,SA-8
SC-3,SA-13
SC-3,SC-2
SC-3,SC-7
SC-3,SC-39
SC-39,AC-3
SC-39,AC-4
SC-39,AC-6
SC-39,SA-4
SC-39,SA-5
SC-39,SA-8
SC-39,SC-2
SC-39,SC-3
SC-4,AC-3
SC-4,AC-4
SC-4,MP-6
SC-5,SC-6
SC-5,SC-7
SC-7,AC-4
SC-7,AC-17
SC-7,CA-3
SC-7,CM-7
SC-7,CP-8
SC-7,IR-4
SC-7,RA-3
SC-7,SC-5
SC-7,SC-13
SC-7,SI-3
SC-7,SA-8
SC-7,SC-2
SC-7,SC-3
SC-7,CP-2
SC-7,SC-24
SC-7,CA-9
SC-7,SC-3
SC-7,SC-8
SC-7,AC-3
SC-7,AU-2
SC-8,AC-17
SC-8,PE-4
SC-8,SC-13
SI-1,PM-9
SI-11,AU-2
SI-11,AU-3
SI-11,SC-31
SI-12,AC-16
SI-12,AU-5
SI-12,AU-11
SI-12,MP-2
SI-12,MP-4
SI-16,AC-25
SI-16,SC-3
SI-2,CA-2
SI-2,CA-7
SI-2,CM-3
SI-2,CM-5
SI-2,CM-8
SI-2,MA-2
SI-2,IR-4
SI-2,RA-5
SI-2,SA-10
SI-2,SA-11
SI-2,SI-11
SI-2,CM-6
SI-2,SI-4
SI-3,CM-3
SI-3,MP-2
SI-3,SA-4
SI-3,SA-8
SI-3,SA-12
SI-3,SA-13
SI-3,SC-7
SI-3,SC-26
SI-3,SC-44
SI-3,SI-2
SI-3,SI-4
SI-3,SI-7
SI-3,AU-2
SI-3,SI-8
SI-3,SI-8
SI-4,AC-3
SI-4,AC-4
SI-4,AC-8
SI-4,AC-17
SI-4,AU-2
SI-4,AU-6
SI-4,AU-7
SI-4,AU-9
SI-4,AU-12
SI-4,CA-7
SI-4,IR-4
SI-4,PE-3
SI-4,RA-5
SI-4,SC-7
SI-4,SC-26
SI-4,SC-35
SI-4,SI-3
SI-4,SI-7
SI-4,AC-18
SI-4,IA-3
SI-4,AU-6
SI-4,AC-6
SI-4,CM-7
SI-4,SA-5
SI-4,SA-9
SI-4,AU-5
SI-4,PE-6
SI-5,SI-2
SI-6,CA-7
SI-6,CM-6
SI-7,SA-12
SI-7,SC-8
SI-7,SC-13
SI-7,SI-3
SI-7,SA-5
SI-7,IR-4
SI-7,IR-5
SI-7,SI-4
SI-8,AT-2
SI-8,AT-3
SI-8,SC-5
SI-8,SC-7
SI-8,SI-3
SI-8,AU-3
SI-8,SI-2
SI-8,SI-7
