Source,Target,Weight
PE-6,PS-2,1
PE-6,PS-3,1
PE-6,SI-4,1
PL-1,PM-9,1
PL-2,PL-7,1
PL-2,PL-8,1
PL-2,PM-1,1
PL-2,PM-11,1
PL-2,PM-7,1
PL-2,PM-8,1
PL-2,PM-9,1
PL-2,PS-2,1
PL-2,SA-17,1
PL-2,SA-4,1
PL-2,SA-5,2
PL-4,PS-6,2
PL-4,PS-8,2
PL-4,SA-5,2
PL-8,PM-7,1
PL-8,SA-12,1
PL-8,SA-17,2
PL-8,SA-5,1
PM-11,SA-2,1
PM-15,SA-11,1
PM-3,SA-2,1
PM-7,SA-17,1
PM-7,SA-3,1
PM-7,SA-8,1
PM-9,PS-1,1
PM-9,RA-1,1
PM-9,RA-3,1
PM-9,SA-1,1
PM-9,SC-1,1
PM-9,SI-1,1
PS-2,PS-3,2
PS-2,PS-6,1
PS-2,PS-7,1
PS-2,SA-5,1
PS-3,PS-6,1
PS-3,PS-7,1
PS-4,PS-5,2
PS-4,PS-6,2
PS-4,PS-7,1
PS-5,PS-7,1
PS-6,PS-7,1
PS-6,PS-8,2
PS-7,SA-21,1
PS-7,SA-4,1
PS-7,SA-9,2
RA-2,RA-3,2
RA-2,RA-5,1
RA-2,SC-7,1
RA-3,RA-5,1
RA-3,SA-9,1
RA-3,SC-7,1
RA-5,SA-11,2
RA-5,SI-2,2
RA-5,SI-3,2
RA-5,SI-4,2
RA-5,SI-5,1
RA-5,SI-7,1
SA-10,SA-12,2
SA-10,SI-2,2
SA-10,SI-7,1
SA-11,SA-3,1
SA-11,SA-4,2
SA-11,SA-5,1
SA-11,SI-2,2
SA-12,SA-14,1
SA-12,SA-15,1
SA-12,SA-18,1
SA-12,SA-19,1
SA-12,SA-3,1
SA-12,SA-4,2
SA-12,SA-8,1
SA-12,SC-29,1
SA-12,SC-30,1
SA-12,SC-38,1
SA-12,SI-3,1
SA-12,SI-7,2
SA-13,SC-3,1
SA-13,SI-3,1
SA-15,SA-3,1
SA-15,SA-8,1
SA-16,SA-5,1
SA-17,SA-3,1
SA-17,SA-8,2
SA-3,SA-4,1
SA-3,SA-5,1
SA-3,SA-8,2
SA-4,SA-5,4
SA-4,SA-8,2
SA-4,SA-9,1
SA-4,SC-13,1
SA-4,SC-2,1
SA-4,SC-3,1
SA-4,SC-39,1
SA-4,SI-3,1
SA-5,SC-3,1
SA-5,SC-39,1
SA-5,SI-4,1
SA-5,SI-7,1
SA-8,SC-2,2
SA-8,SC-3,2
SA-8,SC-39,1
SA-8,SC-7,1
SA-8,SI-3,1
SA-9,SI-4,1
SC-10,SC-23,1
SC-11,SC-23,1
SC-12,SC-13,2
SC-12,SC-17,2
SC-12,SC-20,1
SC-12,SC-28,1
SC-13,SC-20,1
SC-13,SC-28,2
SC-13,SC-7,1
SC-13,SC-8,2
SC-13,SI-7,2
SC-15,SC-19,1
SC-18,SI-3,1
